Sr. No.,Police Station,Year,Head,Date,Place_of_offence,Key_location,Week_no.,Geo_Location,Crowd_Density,Crime_Location_Type
349,Mapusa_Ps,2019,Theft (HBT Night),07-06-2019,"At H. No. 243, Primeriwado, Corjuvem, Aldona Bardez Goa (Aldona)",Aldona,1,"(15.6215, 73.8752)",Low,LocalArea
350,Mapusa_Ps,2019,Theft (HBT Night),20-10-2019,"At shop No. 137, styled as M/S Gajanan Dhavjakar, Municipal Market Mapusa Bardez Goa (MMC)",Mapusa(MMC),3,"(15.5973, 73.8120)",High,MarketZone
351,Mapusa_Ps,2019,Theft (HBT Night),16-11-2019,"At shop No. 136, styled as Ayurved, Municipal Market Mapusa Bardez Goa (MMC)",Mapusa(MMC),3,"(15.5973, 73.8120)",High,MarketZone
352,Mapusa_Ps,2019,Theft (HBT Night),01-05-2019,At H No 131/1 Housing board Colvale Mushirwado Bardez Goa (Colvale),Colvale,1,"(15.6568, 73.8302)",Medium,InHouse
353,Mapusa_Ps,2019,Theft (HBT Night),14-01-2019,"At H. No. 1468/60, Faj Housing colony Madel Thivim Bardez Goa (Thivim)",Thivim,2,"(15.6271, 73.8294)",Medium,InHouse
354,Mapusa_Ps,2019,Theft (HBT Night),17-01-2019,"At H.No. 416/6, Pilimbiwado, Sodiem Siolim Bardez Goa (Siolim)",Siolim,3,"(15.6157, 73.7678)",Low,InHouse
355,Mapusa_Ps,2019,Theft (HBT Night),22-01-2019,"At H No 63/L, Jaywanti Smruti Vidhyanagar Khorlim Mapusa Bardez Goa (MMC)",Mapusa(MMC),4,"(15.5950, 73.8113)",Medium,InHouse
356,Mapusa_Ps,2019,Theft (HBT Night),02-12-2019,At shop styled as Bhavaji Mega Wine Shop No 5 Asma Arcade Karaswada Mapusa Bardez Goa (MMC),Mapusa(MMC),1,"(15.5984, 73.8130)",Medium,MarketZone
357,Mapusa_Ps,2019,Theft (HBT Night),21-02-2019,At near medical store styled as Ritvika Medical Store shop No 3 Asma Arcade Karaswada Mapusa Bardez Goa (MMC),Mapusa(MMC),3,"(15.5984, 73.8130)",Medium,MarketZone
358,Mapusa_Ps,2019,Theft (HBT Night),03-05-2019,"At Wine Store styled as “Raju Wine Store” near Malita Bar, Ghotnichowal, Colvale Bardez Goa (Colvale)",Colvale,1,"(15.6558, 73.8309)",Medium,MarketZone
359,Mapusa_Ps,2019,Theft (HBT Night),16-03-2019,"At H. No. 942/2, Dullatwado, Cansa Thivim, Bardez Goa (Thivim)",Thivim,3,"(15.6280, 73.8289)",Low,InHouse
360,Mapusa_Ps,2019,Assault (Hurt),25-03-2019,At Municipal Garden Dattawadi Mapusa Bardez Goa (MMC),Mapusa(MMC),4,"(15.5954, 73.8111)",High,ResidentialArea
361,Mapusa_Ps,2019,Assault (Hurt),16-04-2019,"At H.No. 318, Gorjuvem, Khorjuvem, Aldona Bardez Goa (Aldona)",Aldona,3,"(15.6337, 73.8773)",Low,InHouse
362,Mapusa_Ps,2019,Assault (Hurt),22-04-2019,"At near H. No. 116, Karaswada, Mapusa Bardez Goa (MMC)",Mapusa(MMC),4,"(15.5978, 73.8132)",Medium,InHouse
363,Mapusa_Ps,2019,Assault (Hurt),31-05-2019,At KTC Bus Stand Mapusa Bardez Goa (MMC),Mapusa(MMC),5,"(15.5963, 73.8120)",High,OnRoad
364,Mapusa_Ps,2019,Assault (Hurt),25-06-2019,"At near Prudential Paradise Building, Peddem Mapusa Bardez Goa (MMC)",Mapusa(MMC),4,"(15.5971, 73.8118)",Medium,LocalArea
365,Mapusa_Ps,2019,Assault (Hurt),28-08-2019,"At H.No. 730, Sataporio, Moira Bardez Goa (Moira)",Moira,4,"(15.6235, 73.8546)",Low,InHouse
366,Mapusa_Ps,2019,Assault (Hurt),10-02-2019,At Nr Shantadurga Temple Moitem Bardez Goa (Moitem),Moitem,2,"(15.6342, 73.8470)",Medium,ReligiousPlace
367,Mapusa_Ps,2019,Assault (Hurt),10-12-2019,At Nr St. Clara High School Assonora Bardez Goa (Assonora),Assonora,2,"(15.6602, 73.8437)",Medium,NearCollege
368,Mapusa_Ps,2019,Assault (Hurt),16-10-2019,"At Ganeshnagar, Assonora Bardez Goa (Assonora)",Assonora,3,"(15.6613, 73.8462)",Medium,LocalArea
369,Mapusa_Ps,2019,Assault (Hurt),02-09-2019,"At in front of Rajan Bar, Tar, Bastora Bardez Goa (Bastora)",Bastora,1,"(15.5921, 73.8076)",Medium,MarketZone
370,Mapusa_Ps,2019,Assault (Hurt),17-06-2019,"At premises of H. No. 64/A/S, St. Rockwado, Colvale, Bardez Goa (Colvale)",Colvale,3,"(15.6552, 73.8305)",Low,InHouse
371,Mapusa_Ps,2019,Assault (Hurt),09-12-2019,At Atafonde Moira Bardez Goa (Moira),Moira,2,"(15.6230, 73.8550)",Low,LocalArea
372,Mapusa_Ps,2019,Assault (Hurt),11-06-2019,"At in front of Heartbeat Bar & Restaurant Peddem, Mapusa Bardez Goa",Mapusa(MMC),2,"(15.5965, 73.8123)",High,MarketZone
373,Mapusa_Ps,2019,Assault (Hurt),25-01-2020,"At in front of Heartbeat Bar & Restaurant Peddem, Mapusa Bardez Goa",Mapusa(MMC),4,"(15.5965, 73.8123)",High,ReligiousPlace
374,Mapusa_Ps,2019,Assault (Hurt),28-01-2020,At Nr Chapel Cansa Thivim Bardez Goa,Thivim,4,"(15.6290, 73.8298)",Low,ReligiousPlace
375,Mapusa_Ps,2019,Assault (Hurt),02-02-2020,"At near Ganesh Temple, Mishirwado, Colvale Bardez Goa",Colvale,1,"(15.6562, 73.8312)",Low,ResidentialArea
376,Mapusa_Ps,2019,Assault (Hurt),02-08-2020,At Khalapwada Canca Bardez Goa,Canca Verla,1,"(15.5770, 73.7987)",Low,ResidentialArea
377,Mapusa_Ps,2019,Assault (Hurt),13-04-2020,At Conference Hall Village Panchayat Nachinola Bardez Goa,Nachinola,2,"(15.6345, 73.8740)",Low,ResidentialArea
378,Mapusa_Ps,2019,Assault (Hurt),21-04-2020,"At Ramtalem Naikawado, Aldona Bardez Goa",Aldona,3,"(15.6257, 73.8768)",Low,InHouse
379,Mapusa_Ps,2019,Assault (Hurt),24-07-2020,"At in front of H. No. 73/1, Jackniwado, Parra Bardez Goa",Parra,4,"(15.5931, 73.7885)",Low,MarketZone
380,Mapusa_Ps,2019,Assault (Hurt),29-07-2020,"At in front of Super Quality Bazar premises, Khorlim Mapusa Bardez Goa",Mapusa(MMC),5,"(15.5970, 73.8127)",Medium,ResidentialArea
381,Mapusa_Ps,2019,Assault (Hurt),27-08-2020,"At in front of Goa Horticulture Department Stall, Canca Bardez Goa",Canca Verla,4,"(15.5775, 73.7992)",Medium,MarketZone
382,Mapusa_Ps,2019,Drug Related (NDPS),10-02-2020,"At near Laxmi Bar, Silvawado, Parra Bardez Goa",Parra,2,"(15.5928, 73.7890)",Medium,ResidentialArea
383,Mapusa_Ps,2019,Drug Related (NDPS),13-10-2020,"At Central Jail Colvale, Colvale Bardez Goa",Colvale,2,"(15.6537, 73.8335)",High,ReligiousPlace
384,Mapusa_Ps,2019,Drug Related (NDPS),17-10-2020,"At near Church, Parra Bardez Goa",Parra,3,"(15.5915, 73.7900)",Medium,ResidentialArea
385,Mapusa_Ps,2019,Drug Related (NDPS),18-10-2020,At Frisking Point Central Jail Colvale Bardez Goa,Colvale,3,"(15.6539, 73.8337)",High,OnRoad
386,Mapusa_Ps,2019,Drug Related (NDPS),22-10-2020,"At Four Road Junction Karaswada, Mapusa Bardez Goa",Mapusa(MMC),4,"(15.5982, 73.8145)",High,ResidentialArea
387,Mapusa_Ps,2019,Drug Related (NDPS),11-04-2020,At Convict Undertrial NDPS Block IV Blocks Central Jail Colvale,Colvale,2,"(15.6537, 73.8335)",High,InHouse
388,Mapusa_Ps,2019,Drug Related (NDPS),20-11-2020,"At in front of H. No. 4/141, Acoi Mapusa Bardez Goa",Mapusa(MMC),3,"(15.5969, 73.8119)",Medium,MarketZone
389,Mapusa_Ps,2020,Theft (Auto Theft),12-03-2020,"At Nr Keni Wine, Taliawada Mapusa Bardez Goa",Mapusa(MMC),2,"(15.5975, 73.8123)",Medium,ResidentialArea
390,Mapusa_Ps,2020,Theft (Auto Theft),12-07-2020,At in front of Tulip Apartment Moira Bardez Goa,Moira,2,"(15.6228, 73.8561)",Low,ResidentialArea
391,Mapusa_Ps,2020,Theft (Auto Theft),23-12-2020,At Sainagar Aldona Bardez Goa,Aldona,4,"(15.6242, 73.8755)",Low,LocalArea
392,Mapusa_Ps,2020,Theft (Auto Theft),01-04-2020,At Zilabhat Revora Bardez Goa,Revora,1,"(15.6804, 73.8825)",Low,LocalArea
393,Mapusa_Ps,2020,Theft (Auto Theft),01-07-2020,At Pellowado Ucassaim Bardez Goa,Ucassaim,1,"(15.6159, 73.8503)",Low,InHouse
394,Mapusa_Ps,2020,Theft (Auto Theft),19-08-2020,At in front of H. No. D-E-75 Housing Board Ektanagar Mapusa Bardez Goa,Mapusa(MMC),3,"(15.5953, 73.8124)",Medium,ResidentialArea
395,Mapusa_Ps,2020,Theft (Auto Theft),23-09-2020,At Camarkhajan Mapusa Bardez Goa,Mapusa(MMC),4,"(15.5974, 73.8116)",Medium,MarketZone
396,Mapusa_Ps,2020,Theft (Auto Theft),30-10-2020,At Nr Suraj Book Stall Mapusa Bardez Goa,Mapusa(MMC),5,"(15.5976, 73.8118)",Medium,MarketZone
397,Mapusa_Ps,2020,Theft (Auto Theft),25-12-2020,At front of Radhe Medical Store Feira Baxia Mapusa Bardez Goa,Mapusa(MMC),4,"(15.5967, 73.8115)",Medium,MarketZone
398,Mapusa_Ps,2020,Theft (Auto Theft),26-01-2020,At in front of Hotel Satyaheera Mapusa Bardez Goa,Mapusa(MMC),4,"(15.5969, 73.8117)",Medium,MarketZone
399,Mapusa_Ps,2020,Theft (Auto Theft),29-01-2020,"At in front of Municipal Market entrance, Mapusa Bardez Goa",Mapusa(MMC),5,"(15.5973, 73.8120)",High,ResidentialArea
400,Mapusa_Ps,2020,Theft (Auto Theft),22-12-2020,At in front of Asha Bhavan St. Cruz Bastora Bardez Goa,Bastora,4,"(15.5935, 73.8079)",Low,MarketZone
401,Mapusa_Ps,2020,Theft (Auto Theft),17-01-2020,At Phoenix Plaza Mapusa Bardez Goa,Mapusa(MMC),3,"(15.5960, 73.8112)",High,OnRoad
402,Mapusa_Ps,2020,Theft (Auto Theft),12-07-2019,"At near Railway Station, Sirsaim, Bardez Goa",Sirsaim,2,"(15.6701, 73.8589)",Medium,MarketZone
403,Mapusa_Ps,2020,Theft (Auto Theft),13-01-2020,At in front of Indian Overseas Bank Canca Bardez Goa,Canca Verla,2,"(15.5779, 73.7998)",Medium,MarketZone
404,Mapusa_Ps,2020,Theft (Auto Theft),06-09-2020,At Opposite Union Bank ATM Counter Taliawada Mapusa Bardez Goa,Mapusa(MMC),1,"(15.5972, 73.8126)",Medium,InHouse
405,Mapusa_Ps,2020,Theft (Auto Theft),15-06-2020,"At in front of H. No. 246, Wadi, Nadora Bardez Goa",Nadora,3,"(15.6893, 73.8921)",Low,LocalArea
406,Mapusa_Ps,2020,Theft (Auto Theft),23-06-2020,At in front of Boshan Apartment Bodgini Mapusa Bardez Goa,Mapusa(MMC),4,"(15.5971, 73.8129)",Medium,MarketZone
407,Mapusa_Ps,2020,Theft (Auto Theft),18-07-2020,At ATM Counter of Bank of India St. Anthony Apartment Mapusa Bardez Goa,Mapusa(MMC),3,"(15.5978, 73.8133)",Medium,InHouse
408,Mapusa_Ps,2020,Theft (House Theft),09-12-2020,"At H. No. 124 Mattawado, Cuchelim Mapusa Bardez Goa",Mapusa(MMC),2,"(15.6005, 73.8192)",Low,Business/Store
409,Mapusa_Ps,2020,Theft (House Theft),06-01-2020,"At Subraya Chamber, 3rd Floor, Keniwada Mapusa Bardez Goa",Mapusa(MMC),1,"(15.5974, 73.8121)",Medium,MarketZone
410,Mapusa_Ps,2020,Theft (House Theft),11-01-2020,At 79 Pet Shop Rijim Plaza Building Morod Mapusa Bardez Goa,Mapusa(MMC),2,"(15.5958, 73.8116)",Medium,MarketZone
411,Mapusa_Ps,2020,Theft (House Theft),27-11-2020,At Restaurant and Bar styled as Hub@ Aldona/La Bonita/Café Dona Aldona Bardez Goa,Aldona,4,"(15.6259, 73.8772)",Medium,InHouse
412,Mapusa_Ps,2020,Theft (House Theft),12-10-2020,"At property bearing Survey No 362/9, Aldona Bardez Goa",Aldona,2,"(15.6263, 73.8765)",Low,LocalArea
413,Mapusa_Ps,2020,Theft (House Theft),29-02-2020,"At Auchitwado Verla, Canca, Bardez Goa",Canca Verla,5,"(15.5805, 73.7998)",Low,ReligiousPlace
414,Mapusa_Ps,2020,Theft (House Theft),04-11-2020,At Bodgeshwar Temple Mapusa Bardez Goa,Mapusa(MMC),1,"(15.5961, 73.8135)",High,MarketZone
415,Mapusa_Ps,2020,Theft (House Theft),19-04-2020,"At Central Store, Vaiginwado, Nachinola Bardez Goa",Nachinola,3,"(15.6338, 73.8743)",Medium,MarketZone
416,Mapusa_Ps,2020,Theft (House Theft),07-02-2020,"At M/S Satpurush Enterprises, near Tari Bridge, Bastora Bardez Goa",Bastora,1,"(15.5923, 73.8065)",Medium,InHouse
417,Mapusa_Ps,2020,Theft (House Theft),15-04-2020,At H. No. 117/2 Gaunsawado Sodiem Siolim Bardez Goa,Siolim,3,"(15.6305, 73.7668)",Low,MarketZone
418,Mapusa_Ps,2020,Theft (House Theft),05-09-2020,At near Carvalho Petrol Pump Mapusa Bardez Goa,Mapusa(MMC),1,"(15.5963, 73.8128)",High,InHouse
419,Mapusa_Ps,2020,Theft (House Theft),06-05-2020,"At H. No. 419/3 Almeida Wado, Parra Bardez Goa",Parra,1,"(15.5920, 73.7872)",Low,InHouse
420,Mapusa_Ps,2020,Theft (HBT Day),07-05-2020,"At Flat No. 204, Building No. D-1, Sattadhar Arcade, Peddem Mapusa Bardez Goa",Mapusa(MMC),1,"(15.5981, 73.8140)",Medium,InHouse
421,Mapusa_Ps,2020,Theft (HBT Day),07-06-2020,At Temple of Laxmi Narayan Prabhu and Kalkhadpeshwar Temple Camurlim Bardez Goa,Camurlim,1,"(15.6790, 73.8705)",Medium,ReligiousPlace
422,Mapusa_Ps,2020,Theft (HBT Day),06-11-2020,"At Pharmacy styled as “Shrey Medical Store” Shop No. 247, Municipal Market Mapusa Bardez Goa",Mapusa(MMC),1,"(15.5970, 73.8125)",High,ParkingLot
423,Mapusa_Ps,2020,Theft (HBT Night),03-01-2021,At temple of Laxmi Narayan Prabhu and Kalkhadpeshwar temple Camurlim Bardez Goa,Camurlim,1,"(15.6270, 73.8215)",Low,MarketZone
424,Mapusa_Ps,2020,Theft (HBT Night),26-01-2021,At Madel Halala Chicken Centre Madel Thivim Bardez Goa,Thivim ,4,"(15.6465, 73.8358)",Medium,MarketZone
425,Mapusa_Ps,2020,Theft (HBT Night),14-02-2021,Shop No. 193 Udai Restaurant Ganeshpuri Housing Board Mapusa Bardez Goa,Mapusa(MMC),2,"(15.5980, 73.8131)",Medium,MarketZone
426,Mapusa_Ps,2020,Theft (HBT Night),08-02-2021,"At Pharmacy styled as “Shrey Medical Store” Shop No. 247, Municipal Market Mapusa Bardez Goa",Mapusa(MMC),2,"(15.5919, 73.8110)",High,ReligiousPlace
427,Mapusa_Ps,2020,Theft (HBT Night),07-03-2021,"At Shivashakti Electronics Shop No. B-6, Municipal Market Bardez Goa",Mapusa(MMC),1,"(15.5972, 73.8127)",High,InHouse
428,Mapusa_Ps,2020,Theft (HBT Night),19-03-2021,"At Shree Shiv Mandir Sattadhar Complex, Karaswada Mapusa Bardez Goa",Mapusa(MMC),3,"(15.5984, 73.8151)",Medium,ResidentialArea
429,Mapusa_Ps,2020,Theft (HBT Night),24-04-2021,"At H. No. 76/4, Acoi Mapusa Bardez Goa",Mapusa(MMC),4,"(15.5967, 73.8119)",Low,MarketZone
430,Mapusa_Ps,2020,Theft (HBT Night),21-01-2021,At Gerald F D’Mello Camarkhajan Mapusa Bardez Goa,Mapusa(MMC),3,"(15.5976, 73.8118)",Medium,InHouse
431,Mapusa_Ps,2020,Theft (HBT Night),06-05-2021,"At Fogueri Caterers, Shed No. 1501, Thivim Bardez Goa",Thivim,1,"(15.6452, 73.8339)",Medium,Business/Store
432,Mapusa_Ps,2020,Theft (HBT Night),27-05-2021,"At H. No. 90, Ward No. 7, near SFX School, Shetyewado, Dhuler Mapusa Bardez Goa",Mapusa(MMC),4,"(15.5975, 73.8123)",Low,ReligiousPlace
433,Mapusa_Ps,2020,Theft (HBT Night),29-05-2021,"At Office No. 503-507, 5th Floor, Cosmos Centre, Morod Mapusa Bardez Goa",Mapusa(MMC),5,"(15.5978, 73.8133)",Medium,ReligiousPlace
434,Mapusa_Ps,2020,Theft (HBT Night),01-06-2021,At Office of St. Jerome Church Mapusa Bardez Goa,Mapusa(MMC),1,"(15.5982, 73.8137)",High,ReligiousPlace
435,Mapusa_Ps,2020,Theft (Chain Snatching),13-08-2021,At Mukreywado Revora Nr Vetal Temple Bardez Goa,Revora,2,"(15.6802, 73.8829)",Low,MarketZone
436,Mapusa_Ps,2020,Theft (Chain Snatching),31-08-2021,At Nr Chapel Acoi Karaswada Mapusa Bardez Goa,Mapusa(MMC),5,"(15.5986, 73.8157)",Medium,NearCollege
437,Mapusa_Ps,2020,Theft (Chain Snatching),02-09-2021,At Nr Poornima Hotel Ansabhat Mapusa Bardez Goa,Mapusa(MMC),1,"(15.5970, 73.8122)",Medium,LocalArea
438,Mapusa_Ps,2020,Theft (Chain Snatching),03-09-2021,At in front of St. Rita High School Colvale Bardez Goa,Colvale,1,"(15.6518, 73.8291)",Medium,ReligiousPlace
439,Mapusa_Ps,2020,Theft (Chain Snatching),09-09-2021,At Nr Peace Link Housing Society Khorlim Mapusa Bardez Goa,Mapusa(MMC),2,"(15.6001, 73.8200)",Medium,LocalArea
440,Mapusa_Ps,2020,Theft (Chain Snatching),22-09-2021,At Near Ganesh Temple Duler Nachinola Bardez Goa,Nachinola (Duler),4,"(15.6328, 73.8723)",Medium,OnRoad
441,Mapusa_Ps,2020,Theft (Chain Snatching),11-08-2020,At Ruzaiwado Dhuler Mapusa Bardez Goa,Mapusa(MMC),2,"(15.5989, 73.8174)",Medium,IndustrialArea
442,Mapusa_Ps,2020,Drug Related (NDPS),19-08-2021,"At KTC Bus Stand Mapusa, Mapusa Bardez Goa",Mapusa(MMC),3,"(15.5938, 73.8125)",High,LocalArea
443,Mapusa_Ps,2020,Drug Related (NDPS),26-10-2021,"At behind Binani Glass Factory, Colvale Bardez Goa",Colvale,4,"(15.6480, 73.8262)",Low,ResidentialArea
444,Mapusa_Ps,2020,Drug Related (NDPS),01-03-2022,At Dhat Cansa Thivim Bardez Goa,Thivim,1,"(15.6512, 73.8347)",Low,OnRoad
445,Mapusa_Ps,2020,Drug Related (NDPS),24-02-2022,At Central Jail Colvale Bardez Goa,Colvale,4,"(15.6479, 73.8290)",High,LocalArea
446,Mapusa_Ps,2020,Drug Related (NDPS),03-03-2022,At Four Road Junction Parra Bardez Goa,Parra,1,"(15.5925, 73.7892)",High,ParkingLot
447,Mapusa_Ps,2020,Assault (Hurt) ,05-05-2022,At Vidhynagar Khorlim Mapusa Bardez Goa,Mapusa(MMC),1,"(15.6007, 73.8213)",Medium,Restaurant
448,Mapusa_Ps,2020,Assault (Hurt) ,17-05-2022,"At Nr Chodankar Medical Store, Assonora Bardez Goa",Assonora,3,"(15.6582, 73.8615)",Medium,LocalArea
449,Mapusa_Ps,2020,Assault (Hurt) ,16-06-2022,At Ahead of Galaxy Hospital Duler Mapusa Bardez Goa,Mapusa(MMC),3,"(15.5973, 73.8148)",High,InHouse
450,Mapusa_Ps,2020,Assault (Hurt) ,05-05-2022,"At Madant, Nadora Bardez Goa",Nadora,4,"(15.6825, 73.8839)",Low,InHouse
451,Mapusa_Ps,2020,Assault (Hurt) ,27-08-2022,"At near H. No. 103, Paliem Uccassim Bardez Goa",Ucassaim ,1,"(15.6701, 73.8672)",Low,MarketZone
452,Mapusa_Ps,2020,Assault (Hurt) ,01-08-2022,"At H. No. 871/T, Ramtolem Aldona Bardez Goa",Aldona,2,"(15.6287, 73.8794)",Low,ResidentialArea
453,Mapusa_Ps,2020,Assault (Hurt) ,14-01-2022,At in front of Fair Price Shop Nr Bungalow Thivim Bardez Goa,Thivim,1,"(15.6503, 73.8310)",Medium,ResidentialArea
454,Mapusa_Ps,2020,Assault (Hurt) ,06-01-2023,"At Khalapwada Verla, Canca Bardez Goa","Verla,Canca",4,"(15.5812, 73.8011)",Low,InHouse
455,Mapusa_Ps,2020,Assault (Hurt) ,28-01-2023,At Golwan Madel Thivim Bardez Goa,Thivim ,5,"(15.6471, 73.8365)",Medium,LocalArea
456,Mapusa_Ps,2020,Assault (Hurt) ,29-06-2023,"At H. No. 91, Ektanagar, Housing Board Mapusa Goa",Mapusa(MMC),3,"(15.5992, 73.8184)",Low,MarketZone
457,Mapusa_Ps,2020,Assault (Hurt) ,19-12-2023,At Tar Bastora Bardez Goa,Bastora ,2,"(15.5956, 73.8052)",Medium,ReligiousPlace
458,Mapusa_Ps,2020,Assault (Hurt) ,09-03-2023,At Nr Deepak Café Tar Bastora Bardez Goa,Bastora ,3,"(15.5948, 73.8048)",Medium,ResidentialArea
459,Mapusa_Ps,2020,Assault (Hurt) ,15-10-2023,At Nr Poreshwar Temple Poreshwar Wado Camurlim Bardez Goa,Camurlim ,1,"(15.6809, 73.8721)",Low,InHouse
460,Mapusa_Ps,2020,Assault (Hurt) ,07-09-2023,At Talapwado Pirna Bardez Goa,Pirna ,2,"(15.6862, 73.8823)",Low,LocalArea
461,Mapusa_Ps,2020,Assault (Hurt) ,12-01-2024,"At H. No. 73, Ponxem Madel Thivim Bardez Goa",Thivim ,2,"(15.6468, 73.8332)",Low,LocalArea
462,Mapusa_Ps,2020,Assault (Hurt) ,14-05-2024,At Sim Khorlim Mapusa Bardez Goa,Mapusa(MMC),3,"(15.5995, 73.8191)",Medium,MarketZone
463,Mapusa_Ps,2020,Assault (Hurt) ,20-09-2024,At Pavacao Moira Bardez Goa,Moira ,4,"(15.6213, 73.8645)",Low,InHouse
464,Mapusa_Ps,2020,Assault (Hurt) ,22-09-2024,"At Fast Food styled as A-2, Fast Food, Sirsaim Bardez Goa",Sirsaim,2,"(15.6708, 73.8501)",Medium,InHouse
465,Mapusa_Ps,2020,Assault (Hurt) ,07-06-2020,At Sai Krupa H. No. 92/12(A) Ponxem Madel Thivim Bardez Goa,Thivim ,1,"(15.6470, 73.8334)",Low,LocalArea
466,Mapusa_Ps,2020,Assault (Hurt) ,07-11-2020,"At 00.30 Hrs. near Mannat Mendes Building, Karaswada Mapusa Bardez Goa",Mapusa(MMC),1,"(15.5968, 73.8165)",Medium,MarketZone
467,Mapusa_Ps,2021,Theft (Auto Theft),13-01-2021,At D’Mellow Wado Canca Bardez Goa,"Verla,Canca",2,"(15.5820, 73.8009)",Low,LocalArea
468,Mapusa_Ps,2021,Theft (Auto Theft),18-01-2021,At in front of Hotel Braganza Mapusa Bardez Goa,Mapusa(MMC),3,"(15.5985, 73.8142)",High,MarketZone
469,Mapusa_Ps,2021,Theft (Auto Theft),04-09-2020,At Khorlim Mapusa Bardez Goa (MMC),Mapusa(MMC),1,"(15.5993, 73.8196)",Medium,Restaurant
470,Mapusa_Ps,2021,Theft (Auto Theft),14-02-2021,At in front of shop styled as “Tar Jewellers” Municipal Market Mapusa Bardez Goa,Mapusa(MMC),2,"(15.5900, 73.8200)",High,ResidentialArea
471,Mapusa_Ps,2021,Theft (Auto Theft),10-03-2021,Nr Galaxy Hospital Shelpem Dhuler Mapusa Bardez Goa,Mapusa(MMC),2,"(15.6000, 73.8300)",Medium,ResidentialArea
472,Mapusa_Ps,2021,Theft (Auto Theft),22-05-2021,"At Pinto Wado Verla, Canca Bardez Goa","Verla,Canca",4,"(15.5892, 73.8073)",Low,LocalArea
473,Mapusa_Ps,2021,Theft (Auto Theft),27-05-2021,"At near Raja Apartment, Angod Mapusa Bardez Goa",Mapusa(MMC),4,"(15.5985, 73.8251)",Medium,LocalArea
474,Mapusa_Ps,2021,Theft (Auto Theft),26-05-2021,At Canca Bandh Canca Bardez Goa,"Verla,Canca",4,"(15.5901, 73.8089)",Low,LocalArea
475,Mapusa_Ps,2021,Theft (Auto Theft),28-05-2021,At Ganeshpuri Housing Board Mapusa Bardez Goa,Mapusa(MMC),4,"(15.5937, 73.8235)",Medium,ResidentialArea
476,Mapusa_Ps,2021,Theft (Auto Theft),01-06-2021,"At Arradi, Guirim, Bardez Goa",Guirim ,1,"(15.5815, 73.8012)",Low,ResidentialArea
477,Mapusa_Ps,2021,Theft (Auto Theft),29-05-2021,"Kumya Morod, Guirim Bardez Goa",Guirim ,5,"(15.5798, 73.7997)",Low,ResidentialArea
478,Mapusa_Ps,2021,Theft (Auto Theft),23-06-2021,At Nr RTO Office KTC Bus Stand Mapusa Bardez Goa,Mapusa(MMC),4,"(15.5921, 73.8234)",High,MarketZone
479,Mapusa_Ps,2021,Theft (Auto Theft),06-07-2021,At Ektanagar Housing Board Mapusa Bardez Goa,Mapusa(MMC),1,"(15.5953, 73.8210)",Medium,MarketZone
480,Mapusa_Ps,2021,Theft (Auto Theft),23-07-2021,At Nr Honda Showroom Dhuler Mapusa Bardez Goa,Mapusa(MMC),4,"(15.6004, 73.8296)",High,ResidentialArea
481,Mapusa_Ps,2021,Theft (Auto Theft),02-02-2021,At Nr Municipal Fish Market Mapusa Bardez Goa,Mapusa(MMC),1,"(15.5902, 73.8205)",High,LocalArea
482,Mapusa_Ps,2021,Theft (Auto Theft),13-08-2021,"At Marod Mapusa, Bardez Goa",Mapusa(MMC),2,"(15.5935, 73.8228)",Medium,LocalArea
483,Mapusa_Ps,2021,Theft (Auto Theft),31-08-2021,"At Marod Mapusa, Bardez Goa",Mapusa(MMC),5,"(15.5925, 73.8107)",Medium,ResidentialArea
484,Mapusa_Ps,2021,Theft (House Theft),11-08-2020,At Ucassaim Bardez Goa,Ucassaim,2,"(15.5749, 73.8101)",Low,InHouse
485,Mapusa_Ps,2021,Theft (House Theft),02-07-2021,At Gawsawado Mapusa Bardez Goa,Mapusa(MMC),1,"(15.5918, 73.8193)",Medium,MarketZone
486,Mapusa_Ps,2021,Theft (House Theft),06-02-2021,At Moitem Assonora Bardez Goa,Assonora,1,"(15.6292, 73.9148)",Low,InHouse
487,Mapusa_Ps,2021,Theft (House Theft),25-07-2021,At H. No. 28 Dhuler Mapusa Bardez Goa,Mapusa(MMC),4,"(15.6007, 73.8301)",Medium,InHouse
488,Mapusa_Ps,2021,Theft (House Theft),19-08-2021,"At Stall, Bodgini, Mapusa, Bardez Goa",Mapusa(MMC),3,"(15.5903, 73.8214)",Medium,MarketZone
489,Mapusa_Ps,2021,Theft (House Theft),02-09-2021,"At Flat No. E-3, Laxmi Apartment Rajwado Mapusa Bardez Goa",Mapusa(MMC),1,"(15.5929, 73.8221)",Medium,InHouse
490,Mapusa_Ps,2021,Theft (House Theft),03-09-2021,"At H. No. 10, Nr New Goa High School Dattawadi Mapusa Bardez Goa",Mapusa(MMC),1,"(15.5978, 73.8260)",Medium,InHouse
491,Mapusa_Ps,2021,Theft (House Theft),09-09-2021,At Bhandari Samaj Mini Hall Bodgini Mapusa Bardez Goa,Mapusa(MMC),2,"(15.5905, 73.8208)",Medium,ResidentialArea
492,Mapusa_Ps,2021,Theft (House Theft),22-09-2021,At M/s Pratik Motors Dattawadi Mapusa Bardez Goa,Mapusa(MMC),4,"(15.5971, 73.8255)",Medium,MarketZone
